Designator,Footprint,Quantity,Value,LCSC Part #
"BLDC10, BLDC11, BLDC12, BLDC4, BLDC5, BLDC6, BLDC7, BLDC8, BLDC9",bldc_connector,9,~,
J1_6,"RJ45 Neltron Industrial Co., Ltd. 7810-8P8C",1,RJ45_Shielded,
"J1_5, J1_4, J1_2, J1, J2_5, J2_4, J2_3, J2",PinHeader_1x04_P2.00mm_Vertical,8,Conn_01x04_Pin,
J1_3,PinSocket_1x08_P2.00mm_Vertical,1,Conn_01x08_Pin,
J2_6,PinHeader_2x05_P2.54mm_Horizontal,1,Conn_02x05_Odd_Even,
J2_2,PinSocket_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
"R3, R6, R8",0603,3,1k,
"R5, R7, R9",0603,3,2.2k,
"RGBLED3, RGBLED5, RGBLED7",JST_XA_B04B-XASK-1_1x04_P2.50mm_Vertical,3,Conn_01x04_Pin,
"RGBLED4, RGBLED6, RGBLED8",PinHeader_1x04_P2.54mm_Vertical,3,Conn_01x04_Pin,
"SERVO3, SERVO5, SERVO7",JST_XA_B03B-XASK-1_1x03_P2.50mm_Vertical,3,~,
"SERVO4, SERVO6, SERVO8",PinHeader_1x03_P2.54mm_Vertical,3,~,
"SERVO_OK_OUTER2, SERVO_OK_OUTER3, SERVO_OK_OUTER4",0805,3,GREEN,
